"x"
"1","format"
"2","idea"
"3","knowledg creation"
"4","new idea"
"5","new fanci knowledg creation"
"x"
"1","conduct research"
"2","aim"
"3","technolog"
"4","sustain research"
"5","sustain technolog"
"x"
"1","univers"
"2","product"
"3","procur"
"4","fair-trad product"
"5","sustain procur"
"x"
"1","sustain research fund"
"x"
"1","teach"
"2","research posit"
"3","sustain"
"x"
"1","show"
"2","time"
"3","peopl"
"4","incent"
"5","project"
"6","same time"
"7","financi incent"
"8","green project"
"x"
"1","awar"
"2","peopl"
"3","spread"
"4","sustain"
"5","account"
"6","dark-green spread"
"7","differenti real sustain"
"8","creativ account"
"x"
"1","univers"
"2","project"
"3","fund"
"4","social project"
"5","fund social project"
"x"
"1","univers"
"2","volunt"
"x"
"1","univers"
"2","incub"
"x"
"1","univers"
"2","partnership"
"x"
"1","teacher"
"2","salari"
"3","professor"
"4","fair salari"
"x"
"1","co2"
"2","gas"
"3","emiss"
"4","gase"
"5","organis"
"6","tonn"
"7","equival gase"
"x"
"1","co2 particl"
"2","environ"
"x"
"1","presenc"
"2","introduct"
"3","air"
"4","substanc"
"5","effect"
"6","poison effect"
"x"
"1","impact"
"2","person"
"3","communiti"
"4","environ"
"5","amount"
"6","land"
"7","use"
"8","resourc"
"9","natur resourc"
"x"
"1","use"
"2","oil"
"3","gas"
"x"
"1","layout"
"2","space"
"3","neighbourhood"
"4","sustain layout"
"5","avail space"
"x"
"1","design"
"2","natur"
"3","guid"
"4","bio"
"x"
"1","build"
"2","environ"
"x"
"1","regul"
"2","temperatur"
"3","humid"
"4","build"
"x"
"1","vegetarian option"
"2","cafeteria"
"3","vegetarian food"
"4","meat"
"x"
"1","vegan option"
"2","cafeteria"
"3","vegan food"
"4","meat"
"x"
"1","energi sourc"
"x"
"1","energi sourc"
"2","sustain energi sourc"
"x"
"1","panel"
"2","energi"
"3","solar panel"
"4","solar energi"
"x"
"1","fusion"
"2","energi"
"3","nuclear fusion"
"4","nuclear energi"
"x"
"1","fuel"
"2","energi"
"3","fossil fuel"
"x"
"1","energi effici"
"2","energi reus"
"x"
"1","vehicl"
"2","electr vehicl"
"x"
"1","transport"
"2","tram"
"3","train"
"4","buss"
"5","public transport such"
"x"
"1","economi"
"2","circular economi"
"x"
"x"
"1","wast separ"
"x"
"1","wast reduct"
"2","plastic wast reduct"
"x"
"1","paper wast reduct"
"x"
"1","wast reduct"
"2","electron wast reduct"
"x"
"1","food wast reduct"
"x"
"1","wast reduct"
"2","chemic"
"3","chemic wast reduct"
"x"
"1","univers"
"2","citizen scienc"
"3","research"
"x"
"1","univers"
"2","knowledg"
"3","organis"
"4","citizen"
"5","expert knowledg"
"x"
"1","employe satisfact"
"x"
"1","student satisfact"
"x"
"1","gender"
"x"
"1","staff ratio"
"2","male staff ratio"
"x"
"1","heteronorm"
"x"
"1","peopl"
"2","dissabl"
"x"
"1","univers"
"2","peopl"
"3","cultur"
"4","multicultur"
"5","racism"
"x"
"1","univers"
"2","peopl"
"3","kind"
"4","religion"
"5","differ kind"
"x"
"1","prayer room"
"x"
"1","univers"
"2","student"
"3","disabl"
"x"
"1","help student"
"2","staff"
"3","immigr"
"4","countri"
"5","part"
"6","dutch societi"
"7","other countri"
"x"
"1","ethic"
"2","cultur"
"3","ethic cultur"
"x"
"1","univers"
"2","privaci"
"x"
"1","food"
"2","cafeteria"
"3","water"
"4","build"
"5","fit facil"
"6","healthi food"
"x"
"1","univers"
"2","peopl"
"3","problem"
"4","health"
"5","mental health"
"x"
"1","stress"
"2","pressur"
"x"
"1","thing"
"2","univers"
"3","help"
"4","student"
"5","place"
"6","sustain place"
"x"
"1","univers"
"2","space"
"3","safe space"
"x"
"1","univers"
"2","student"
"3","place"
"4","enough place"
"x"
"1","educ"
"2","sustain"
"x"
"1","univers"
"2","sustain cours"
"x"
"1","univers"
"2","sustain event"
